,Real_time,frame,gazeX_1,gazeY_1,pdl_1,pdr_1,gazeX_2,gazeY_2,pdl_2,pdr_2,jva10,jva50,jva100,jva150,jva200,AOI_1,AOI_2,leader10,leader50,leader100,leader150,leader200,jva100_lag0,speech_l,speech_r,EDA_x,EDA_y,normalized EDA_x,normalized EDA_y,DA,IDM,SM,PC
17,2017-08-08 15:31:03.080000,102,672.7988,2530.076,2.41, 2.49,753.8198,2499.31,2.82, 2.75,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,0,0.983058,0.146072,-0.5778551623100001,0.429862993583,0.358333333333,0.163427651601,1.20438313411,0.36721934493
18,2017-08-08 15:31:03.320000,108,534.4658,2481.355,2.41, 2.47,755.1929299999997,2493.7622,2.79, 2.72,0,0,0,1,1,1.0,1.0,0,0,0,1,1,0,1,0,0.983058,0.14479,-0.5778551623100001,0.39955258317500003,0.358333333333,0.163331283869,1.20438283519,0.36808606883199996
19,2017-08-08 15:31:03.560000,114,497.51828,2495.6602,2.38, ,766.1556400000003,2500.0757,2.75, 2.69,0,0,0,1,1,2.0,1.0,0,0,0,1,1,0,1,0,0.984339,0.139665,-0.5764561637110001,0.278381870738,0.358333333333,0.162927381494,1.20440896079,0.36903191959799997
20,2017-08-08 15:31:03.800000,120,501.78995,2465.2554,2.33, 2.52,766.3721,2505.8545,2.73, 2.68,0,0,0,1,1,1.0,1.0,0,0,0,1,1,0,1,0,0.984339,0.142228,-0.5764561637110001,0.33897904848899996,0.358333333333,0.162927381494,1.20448673016,0.37041246763999996
21,2017-08-08 15:31:04.040000,126,507.25485,2503.4019,2.4, 2.49,755.1915,2493.431,2.82, 2.71,0,0,0,1,1,1.0,1.0,0,0,0,1,1,0,1,0,0.988183,0.14479,-0.572258075798,0.39955258317500003,0.3575,0.162941453931,1.20456449953,0.37153919576600003
22,2017-08-08 15:31:04.280000,132,499.08115,2507.6968,2.35, 2.46,761.9714,2498.8755,2.8, 2.7,0,0,0,1,1,2.0,1.0,0,0,0,1,1,0,1,0,0.988183,0.146072,-0.572258075798,0.429862993583,0.3575,0.16284508255799998,1.20459412354,0.372563107075
23,2017-08-08 15:31:04.520000,138,523.51135,2644.0796,2.37, 2.46,782.569,2504.3535,2.73, 2.66,0,0,0,0,1,1.0,1.0,0,0,0,0,1,0,1,0,0.98562,0.143509,-0.575057165111,0.369265815832,0.356666666667,0.162657085592,1.20459965469,0.373508334339
24,2017-08-08 15:31:04.760000,144,547.37933,2695.4429,, 2.47,785.3941,2501.3745,2.77, 2.67,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.98562,0.14479,-0.575057165111,0.39955258317500003,0.356666666667,0.16256079302999998,1.20465218509,0.37458055464400003
25,2017-08-08 15:31:05,150,546.033,2689.8289,2.36, 2.45,788.73627,2500.5860000000002,2.78, 2.67,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.9894639999999999,0.146072,-0.570859077198,0.429862993583,0.356666666667,0.16256071785999998,1.2046577350499998,0.37562560483900004
26,2017-08-08 15:31:05.240000,156,550.2792400000002,2681.3967,2.36, 2.48,808.70917,2479.081,2.67, 2.75,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.98562,0.146072,-0.575057165111,0.429862993583,0.3575,0.16262902317,1.2046620994600001,0.376593146265
27,2017-08-08 15:31:05.480000,162,549.1791400000002,2674.079,2.35, 2.49,806.58685,2491.0570000000002,2.68, 2.73,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.983058,0.146072,-0.5778551623100001,0.429862993583,0.3575,0.162647683765,1.20466996228,0.377513278763
28,2017-08-08 15:31:05.720000,168,551.6168,2672.9546,2.34, 2.47,803.5309,2488.7507,2.7, 2.8,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.986901,0.14735299999999998,-0.573658166512,0.460149760926,0.3575,0.16265701042199998,1.20469956658,0.378349834745
29,2017-08-08 15:31:05.960000,174,531.4636,2672.732,2.37, 2.49,817.58997,2499.1428,2.66, 2.71,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.988183,0.146072,-0.572258075798,0.429862993583,0.3575,0.162551387562,1.20470742941,0.37915958421999996
30,2017-08-08 15:31:06.200000,180,527.52997,2676.8687,2.39, 2.52,683.57666,2489.3296,2.64, 2.74,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,1,0.988183,0.146072,-0.572258075798,0.429862993583,0.3575,0.16265701042199998,1.20471529223,0.38012052051399997
31,2017-08-08 15:31:06.440000,186,528.0473,2679.524000000001,2.43, 2.55,677.6792,2480.4983,2.79, 2.77,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,1,0.9894639999999999,0.143509,-0.570859077198,0.369265815832,0.358333333333,0.162546645423,1.2046990828200002,0.38113357032300005
32,2017-08-08 15:31:06.680000,192,577.78345,2672.5583,2.44, 2.52,538.81177,2612.2852,2.8, 2.78,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,1,0.988183,0.146072,-0.572258075798,0.429862993583,0.358333333333,0.162546566613,1.20478618067,0.38223518206600005
33,2017-08-08 15:31:06.920000,198,613.4053,2739.9834,2.45, 2.55,543.68256,2625.4507,2.8, 2.77,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,1,0.984339,0.146072,-0.5764561637110001,0.429862993583,0.358333333333,0.162642934345,1.20484920538,0.383093113957
34,2017-08-08 15:31:07.160000,204,527.4501,2673.614,2.43, 2.59,540.40906,2630.103,2.82, 2.81,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,1,0.9894639999999999,0.14735299999999998,-0.570859077198,0.460149760926,0.3575,0.162762626002,1.20485823404,0.38400908363799996
35,2017-08-08 15:31:07.400000,210,529.0641,2678.0151,2.44, 2.6,543.18024,2612.1514,2.93, 2.86,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,1,0.992027,0.146072,-0.568059987885,0.429862993583,0.358333333333,0.162748632375,1.2048707611,0.38486282881800005
36,2017-08-08 15:31:07.640000,216,518.6955,2712.7207,2.42, ,670.8758,2489.4556,2.88, 2.87,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,1,0.992027,0.146072,-0.568059987885,0.429862993583,0.359166666667,0.162826267983,1.20489145081,0.38588815055
37,2017-08-08 15:31:07.880000,222,598.8757,2516.3613,2.33, 2.54,667.49316,2493.5754,2.85, 2.82,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,0,1,0.9907450000000001,0.14735299999999998,-0.5694600785989999,0.460149760926,0.36,0.16279828073,1.20493154941,0.386868364909
38,2017-08-08 15:31:08.120000,228,619.0991,2516.7463,2.39, 2.5,571.8839,2509.1995,2.76, 2.77,0,1,1,1,1,1.0,1.0,0,1,1,1,1,1,0,1,0.98562,0.146072,-0.575057165111,0.429862993583,0.359166666667,0.162743969047,1.20495223912,0.387733147904
39,2017-08-08 15:31:08.360000,234,600.00366,2549.2456,2.24, 2.35,578.46075,2518.5054,2.74, 2.8,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,1,0.9894639999999999,0.14735299999999998,-0.570859077198,0.460149760926,0.358333333333,0.162671000408,1.20499000516,0.388619844287
40,2017-08-08 15:31:08.600000,240,551.4802,2647.145,2.35, 2.45,656.5854,2479.2783,2.86, 2.8,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,0,1,0.9894639999999999,0.14735299999999998,-0.570859077198,0.460149760926,0.358333333333,0.162671000408,1.2050060306200001,0.389479377807
41,2017-08-08 15:31:08.840000,246,545.58484,2642.9907,2.35, 2.43,622.2449,2394.606,2.75, 2.75,0,1,1,1,1,1.0,1.0,0,1,1,1,1,0,0,1,0.9894639999999999,0.146072,-0.570859077198,0.429862993583,0.359166666667,0.16286832767200002,1.2049474853,0.39050615228200003
42,2017-08-08 15:31:09.080000,252,596.6313,2505.8438,2.39, 2.49,622.85406,2377.7583,2.75, 2.77,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,0,0.9894639999999999,0.146072,-0.570859077198,0.429862993583,0.359166666667,0.163079648562,1.20496700918,0.39150600675499997
